"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Rheumatic fever without mention of heart involvement"	"I00"	23	279040168	0.0
	"1999"	"1999"	"Acute rheumatic endocarditis"	"I01.1"	5	279040168	Unreliable
	"1999"	"1999"	"Acute rheumatic myocarditis"	"I01.2"	1	279040168	Unreliable
	"1999"	"1999"	"Rheumatic chorea with heart involvement"	"I02.0"	1	279040168	Unreliable
	"1999"	"1999"	"Mitral stenosis"	"I05.0"	830	279040168	0.3
	"1999"	"1999"	"Rheumatic mitral insufficiency"	"I05.1"	19	279040168	Unreliable
	"1999"	"1999"	"Mitral stenosis with insufficiency"	"I05.2"	9	279040168	Unreliable
	"1999"	"1999"	"Other mitral valve diseases"	"I05.8"	22	279040168	0.0
	"1999"	"1999"	"Mitral valve disease, unspecified"	"I05.9"	1170	279040168	0.4
	"1999"	"1999"	"Rheumatic aortic stenosis"	"I06.0"	22	279040168	0.0
	"1999"	"1999"	"Rheumatic aortic insufficiency"	"I06.1"	7	279040168	Unreliable
	"1999"	"1999"	"Rheumatic aortic valve disease, unspecified"	"I06.9"	24	279040168	0.0
	"1999"	"1999"	"Tricuspid stenosis"	"I07.0"	1	279040168	Unreliable
	"1999"	"1999"	"Tricuspid insufficiency"	"I07.1"	184	279040168	0.1
	"1999"	"1999"	"Other tricuspid valve diseases"	"I07.8"	26	279040168	0.0
	"1999"	"1999"	"Tricuspid valve disease, unspecified"	"I07.9"	14	279040168	Unreliable
	"1999"	"1999"	"Disorders of both mitral and aortic valves"	"I08.0"	325	279040168	0.1
	"1999"	"1999"	"Disorders of both mitral and tricuspid valves"	"I08.1"	60	279040168	0.0
	"1999"	"1999"	"Disorders of both aortic and tricuspid valves"	"I08.2"	4	279040168	Unreliable
	"1999"	"1999"	"Combined disorders of mitral, aortic and tricuspid valves"	"I08.3"	29	279040168	0.0
	"1999"	"1999"	"Multiple valve disease, unspecified"	"I08.9"	2	279040168	Unreliable
	"1999"	"1999"	"Rheumatic myocarditis"	"I09.0"	13	279040168	Unreliable
	"1999"	"1999"	"Rheumatic diseases of endocardium, valve unspecified"	"I09.1"	132	279040168	0.0
	"1999"	"1999"	"Other specified rheumatic heart diseases"	"I09.8"	1	279040168	Unreliable
	"1999"	"1999"	"Rheumatic heart disease, unspecified"	"I09.9"	752	279040168	0.3
	"1999"	"1999"	"Essential (primary) hypertension"	"I10"	9917	279040168	3.6
	"1999"	"1999"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	8104	279040168	2.9
	"1999"	"1999"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	14598	279040168	5.2
	"1999"	"1999"	"Hypertensive renal disease with renal failure"	"I12.0"	6800	279040168	2.4
	"1999"	"1999"	"Hypertensive renal disease without renal failure"	"I12.9"	251	279040168	0.1
	"1999"	"1999"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	43	279040168	0.0
	"1999"	"1999"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	1168	279040168	0.4
	"1999"	"1999"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	2005	279040168	0.7
	"1999"	"1999"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	111	279040168	0.0
	"1999"	"1999"	"Unstable angina"	"I20.0"	114	279040168	0.0
	"1999"	"1999"	"Angina pectoris with documented spasm"	"I20.1"	18	279040168	Unreliable
	"1999"	"1999"	"Angina pectoris, unspecified"	"I20.9"	371	279040168	0.1
	"1999"	"1999"	"Acute transmural myocardial infarction of anterior wall"	"I21.0"	16	279040168	Unreliable
	"1999"	"1999"	"Acute transmural myocardial infarction of inferior wall"	"I21.1"	6	279040168	Unreliable
